,E1,v12,v13,E2,v21,v23,E3,v31,v32,G23,G31,G12,CTE_1,CTE_2,CTE_3
0,5.4097e+04,0.1408,0.4754,5.4097e+04,0.1408,0.4754,1.4924e+04,0.1311,0.1311,4.0707e+03,4.0707e+03,4.6511e+03,0.0000e+00,0.0000e+00,0.0000e+00
0,8.4662e+04,0.1296,0.3814,8.4662e+04,0.1296,0.3814,1.7475e+04,0.0787,0.0787,5.6754e+03,5.6754e+03,7.2010e+03,0.0000e+00,0.0000e+00,0.0000e+00
1,2.9682e+04,0.1715,0.5812,2.9682e+04,0.1715,0.5812,1.2681e+04,0.2483,0.2483,2.7846e+03,2.7846e+03,2.8818e+03,0.0000e+00,0.0000e+00,0.0000e+00
2,7.3959e+04,0.1431,0.3917,7.3959e+04,0.1431,0.3917,1.4550e+04,0.0771,0.0771,4.1476e+03,4.1476e+03,5.2333e+03,0.0000e+00,0.0000e+00,0.0000e+00
3,3.0396e+04,0.2804,0.5592,3.0396e+04,0.2804,0.5592,2.1164e+04,0.3894,0.3894,4.9180e+03,4.9180e+03,5.2208e+03,0.0000e+00,0.0000e+00,0.0000e+00
4,3.6908e+04,0.1201,0.3489,3.6908e+04,0.1201,0.3489,1.1753e+04,0.1111,0.1111,4.1564e+03,4.1564e+03,4.8160e+03,0.0000e+00,0.0000e+00,0.0000e+00
5,7.5399e+04,0.2026,0.5166,7.5399e+04,0.2026,0.5166,1.2618e+04,0.0864,0.0864,2.7715e+03,2.7715e+03,3.2297e+03,0.0000e+00,0.0000e+00,0.0000e+00
6,3.8810e+04,0.1343,0.4120,3.8810e+04,0.1343,0.4120,9.5602e+03,0.1015,0.1015,2.9824e+03,2.9824e+03,3.4695e+03,0.0000e+00,0.0000e+00,0.0000e+00
7,5.8280e+04,0.1602,0.6267,5.8280e+04,0.1602,0.6267,2.2344e+04,0.2403,0.2403,4.0850e+03,4.0850e+03,4.1856e+03,0.0000e+00,0.0000e+00,0.0000e+00
8,5.7185e+04,0.1235,0.3481,5.7185e+04,0.1235,0.3481,1.5773e+04,0.0960,0.0960,5.7308e+03,5.7308e+03,6.5845e+03,0.0000e+00,0.0000e+00,0.0000e+00
